,Gene,Sample,NormalizedCount,Subject.ID,Profile,origID,SULB,GATC.D3,Sex,IVSA,Reads,Reads.after.trim,Mapped.in.pairs,Mapped.to.total.rRNA
1139093,Grin1,ZRRN7473,173.651700501607,β-D3-2N,PFC,349,50 mg/Kg,25 MG/KG,M,F,36756670,3288502,0.2933,0.2064
1139094,Grin1,ZRK38E47,93.2996058837376,β-D3-3R,PFC,350,50 mg/Kg,40 MG/KG,M,F,32647104,2372430,0.1472,0.0792
1139095,Grin1,ZR7B6R46,115.984009908082,β-D3-4N,PFC,351,50 mg/Kg,70 MG/KG,M,F,37871040,2673526,0.1962,0.0204
1139096,Grin1,ZR2M8K48,0.0,β-D3-5R,PFC,352,,F-O,M,F,46201762,762158,0.0283,0.1469
1139097,Grin1,ZR7X32Q2,133.162548135403,β-D3-6N,PFC,353,,SALINE,M,S,38788560,22421718,0.6914,0.1247
1139098,Grin1,ZR262626,105.919389105818,β-D3-7R,PFC,354,50 mg/Kg,0 MG/KG,M,F,37193590,27530254,0.7445,0.1043
1139099,Grin1,ZRF3B472,91.6445545941936,β-D3-8N,PFC,355,50 mg/Kg,25 MG/KG,M,F,35833482,15404924,0.6791,0.1649
1139100,Grin1,ZR26WT72,98.6072702660284,β-D3-10N,PFC,356,50 mg/Kg,70 MG/KG,M,F,32931196,24287020,0.6641,0.0863
1139101,Grin1,ZRRV4278,114.225918449224,β-D3-11R,PFC,357,,F-O,M,F,30821576,18096202,0.6705,0.0241
1139102,Grin1,ZRMM8624,114.095623737464,β-D3-12N,PFC,358,,SALINE,M,S,24816426,4406432,0.5056,0.012
1139103,Grin1,ZR7HA488,175.352843140424,β-D3-13R,PFC,359,50 mg/Kg,0 MG/KG,M,F,33620212,18754464,0.7023,0.0256
1139104,Grin1,ZR8AR468,165.546230146585,β-D3-14N,PFC,360,50 mg/Kg,25 MG/KG,M,F,37859884,26015404,0.6849,0.0217
1139105,Grin1,ZR8RR262,143.212130681517,β-D3-15R,PFC,361,50 mg/Kg,40 MG/KG,M,F,28450754,23560458,0.7273,0.0229
1139106,Grin1,ZRX42N64,148.046719965481,β-D3-16N,PFC,362,50 mg/Kg,70 MG/KG,M,F,31418848,27744844,0.7833,0.037
1139107,Grin1,ZRN6R878,190.54572425275,β-D3-17R,PFC,363,,F-O,M,F,34489704,21551214,0.7669,0.0328
